compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
fumoxicillin,0,443.481,1.777,3.0,132.44,4.0,6.0
epicillin,0,351.428,0.222,3.0,112.73,3.0,4.0
amoxicillin,0,365.411,0.024,4.0,132.96,3.0,4.0
ampicillin,0,349.412,0.318,3.0,112.73,3.0,4.0
sultamicillin,0,582.657,-0.477,4.0,204.48,5.0,5.0
talampicillin,0,481.53,1.646,2.0,128.03,5.0,5.0
rotamicillin,0,549.653,1.458,4.0,140.2,5.0,8.0
mezlocillin,0,539.592,-0.234,3.0,173.5,4.0,6.0
piroxicillin,0,672.702,0.361,8.0,266.01,5.0,9.0
piridicillin sodium,0,729.79,-0.174,7.0,246.74,5.0,13.0
suncillin,0,429.476,-0.248,4.0,153.11,3.0,6.0
quinacillin,0,416.415,0.573,3.0,149.79,4.0,4.0
tigemonam,0,437.412,-1.629,4.0,210.81,2.0,8.0
morsuximide,1,288.347,0.993,0.0,49.85,3.0,3.0
isoflupredone,1,378.44,1.65,3.0,94.83,4.0,2.0
alfadolonum [inn-latin],1,348.483,2.747,2.0,74.6,4.0,2.0
schembl1649910,1,413.341,3.166,2.0,74.6,4.0,2.0
memantine,1,179.307,2.694,1.0,26.02,4.0,0.0
cortexolone(cortodoxonecortifen),1,346.467,2.811,2.0,74.6,4.0,2.0
camphor,1,152.237,2.402,0.0,17.07,2.0,0.0
dezocine,1,245.366,3.114,2.0,46.25,3.0,0.0
amcinafide,1,496.575,3.556,2.0,93.06,6.0,3.0
cefrotil,0,414.487,0.728,3.0,111.1,4.0,5.0
cephradine (cefradine),0,349.412,0.349,3.0,112.73,3.0,4.0
cefedrolor,0,397.84,0.804,4.0,132.96,3.0,4.0
cefadroxil,0,363.395,0.151,4.0,132.96,3.0,4.0
cefsumide,0,440.503,-0.184,4.0,158.9,3.0,6.0
cephalexin,0,347.396,0.445,3.0,112.73,3.0,4.0
virginiamycin-factor-m1,0,525.602,2.659,2.0,139.04,3.0,1.0
ketazolam,1,368.82,3.28,0.0,49.85,4.0,1.0
"morphinan-3-ol, 6,7-didehydro-4,5-epoxy-6,17-dimethyl-, (5.alpha.)-",1,283.371,2.617,1.0,32.7,5.0,0.0
cortisuzol,1,672.8,4.841,3.0,156.02,7.0,6.0
edaravone,1,174.203,1.799,0.0,32.67,2.0,1.0
dazepinil,1,250.345,3.966,0.0,15.6,3.0,1.0
metazocine,1,231.339,2.546,1.0,23.47,3.0,0.0
ribavirin,1,271.404,3.326,1.0,23.47,4.0,2.0
phenazocine,1,321.464,4.159,1.0,23.47,4.0,3.0
crilvastatin,1,253.342,2.023,1.0,55.4,2.0,2.0
cormetasone,1,428.447,2.141,3.0,94.83,4.0,2.0
ft-0778082,1,428.903,3.09,2.0,74.6,4.0,2.0
90566-53-3,1,444.515,3.469,2.0,74.6,4.0,2.0
clobetasol,1,410.913,3.142,2.0,74.6,4.0,2.0
naranol,1,283.371,2.661,1.0,32.7,4.0,0.0
"9-[3-(3,5-dimethyl-1-piperazinyl)propyl]carbazole",1,321.468,3.867,1.0,20.2,4.0,4.0
mexazolam,1,363.244,3.867,1.0,41.57,4.0,1.0
pristinamycin-ic,0,852.946,0.88,4.0,227.96,6.0,6.0
fenmetramide,1,191.23,1.263,1.0,38.33,2.0,1.0
phenmetrazine,1,177.247,1.736,1.0,21.26,2.0,1.0
paraldehyde,1,132.159,1.088,0.0,27.69,1.0,0.0
4-demethoxyadriamycin hcl,0,513.499,-0.007,6.0,196.84,5.0,4.0
proscillaridin a,0,530.658,3.014,4.0,129.59,6.0,3.0
enilospirone,1,295.766,2.893,1.0,47.56,3.0,2.0
trebenzomine,1,191.274,1.94,0.0,12.47,2.0,1.0
ketazocine,1,285.387,2.967,1.0,40.54,4.0,2.0
propanidid,1,44.097,1.416,0.0,0.0,0.0,0.0
normethadone,1,295.426,3.904,0.0,20.31,2.0,7.0
isomethadone,1,309.453,4.15,0.0,20.31,2.0,7.0
propyperone,1,388.527,4.088,0.0,40.62,3.0,8.0
resocortol,1,360.494,3.199,2.0,74.6,4.0,2.0
ketobemidone,1,247.338,2.335,1.0,40.54,2.0,3.0
eclanamine,1,329.271,4.219,0.0,23.55,2.0,4.0
remifentanil,1,376.453,2.0,0.0,76.15,2.0,7.0
carfentanil,1,394.515,3.68,0.0,49.85,3.0,7.0
trimethoprim,1,416.526,1.384,0.0,85.49,3.0,9.0
lofentanil,1,408.542,3.926,0.0,49.85,3.0,7.0
trefentanil,1,466.561,3.033,0.0,76.26,4.0,8.0
suproclone,1,520.036,3.338,0.0,95.94,5.0,3.0
parapropamol,1,165.192,1.741,2.0,49.33,1.0,2.0
alphaprodine (betaprodine),1,261.365,2.807,0.0,29.54,2.0,3.0
midecamycin,0,813.979,2.767,3.0,206.05,3.0,12.0
beclomethasonedipropionate(beclometasone-dipropionate),1,521.05,4.087,1.0,106.97,4.0,6.0
betamethasone-valerate,1,504.595,3.818,1.0,106.97,4.0,6.0
alclometasone-dipropionate,1,521.05,3.943,1.0,106.97,4.0,6.0
akos024419646,1,508.558,3.328,1.0,99.13,5.0,4.0
diproleandomycin,0,799.996,3.83,1.0,178.12,4.0,10.0
dextropropoxyphene,1,339.479,4.276,0.0,29.54,2.0,8.0
clobetasol-propionate,1,466.977,4.103,1.0,80.67,4.0,4.0
hydrocortisone-aceponate,1,460.567,3.313,1.0,106.97,4.0,5.0
methylprednisolone-aceponate,1,472.578,3.335,1.0,106.97,4.0,5.0
amelometasone,1,462.558,3.511,1.0,89.9,4.0,5.0
schembl144284,1,482.589,4.133,1.0,80.67,4.0,3.0
schembl13773292,1,517.034,4.699,1.0,80.67,4.0,4.0
fluticasone propionate,1,500.579,4.43,1.0,80.67,4.0,4.0
alphameprodine/betameprodine,1,275.392,3.197,0.0,29.54,2.0,4.0
propiomazine,1,340.492,4.832,0.0,23.55,3.0,5.0
carphenazine,1,425.598,3.882,1.0,47.02,4.0,8.0
ibrotamide,1,208.099,1.671,1.0,43.09,0.0,3.0
acecarbromal,1,279.134,1.312,2.0,75.27,0.0,3.0
carbromal,1,237.097,1.135,2.0,72.19,0.0,3.0
pheneturide,1,206.245,1.375,2.0,72.19,1.0,3.0
fenbutrazate,1,367.489,4.185,0.0,38.77,3.0,7.0
etiracetam,1,170.212,-0.127,1.0,63.4,1.0,3.0
emylcamate,1,145.202,1.66,1.0,52.32,0.0,3.0
homprenorphine,1,451.607,3.857,1.0,51.16,8.0,6.0
sulfonethylmethane,1,242.362,0.982,0.0,68.28,0.0,5.0
nisobamate,1,274.361,2.269,2.0,90.65,0.0,7.0
mebutamate,1,232.28,1.229,2.0,104.64,0.0,6.0
capuride,1,186.255,1.254,2.0,72.19,0.0,4.0
valnoctamide,1,143.23,1.544,1.0,43.09,0.0,4.0
bacitracin,0,1422.72,-1.678,17.0,530.87,4.0,35.0
butobarbitone,1,212.249,0.795,2.0,75.27,1.0,3.0
eqvalan,0,1736.185,10.813,6.0,340.12,14.0,15.0
embutramide,1,293.407,2.642,2.0,58.56,1.0,9.0
etryptamine,1,188.274,2.448,2.0,41.81,2.0,3.0
hydroxyphenamate (oxyfenamate),1,209.245,1.38,2.0,72.55,1.0,4.0
betamethadol,1,311.469,4.084,1.0,23.47,2.0,7.0
levacetylmethadol,1,353.506,4.655,0.0,29.54,2.0,8.0
procymate,1,185.267,2.441,1.0,52.32,1.0,3.0
mls006011441,0,378.45,1.476,2.0,95.94,3.0,6.0
bemegride,1,155.197,0.839,1.0,46.17,1.0,1.0
paramethadione,1,157.169,0.764,0.0,46.61,1.0,1.0
heptabarb,1,250.298,1.639,2.0,75.27,2.0,2.0
pyrithyldione,1,167.208,1.005,1.0,46.17,1.0,2.0
metharbital,1,198.222,0.501,1.0,66.48,1.0,2.0
phetharbital,1,260.293,2.076,1.0,66.48,2.0,3.0
ethypicone,1,181.235,1.395,1.0,46.17,1.0,2.0
methyprylon,1,183.251,1.128,1.0,46.17,1.0,2.0
amcinafal,1,462.558,3.199,2.0,93.06,5.0,4.0
tolquinzole,1,245.366,2.829,1.0,23.47,3.0,1.0
eterobarb,1,320.345,1.333,0.0,76.15,2.0,6.0
benzobarbital,1,336.347,2.253,1.0,83.55,3.0,3.0
mephobarbital(methylphenobarbital),1,246.266,1.043,1.0,66.48,2.0,2.0
methetoin,1,218.256,1.474,1.0,49.41,2.0,2.0
piperacillin,1,217.268,1.771,1.0,46.17,2.0,2.0
mephenytoin,1,218.256,1.474,1.0,49.41,2.0,2.0
iminophenimide,1,218.256,0.538,2.0,58.2,2.0,2.0
etoxadrol,1,261.365,2.807,1.0,30.49,3.0,3.0
gemazocine,1,299.458,4.107,1.0,23.47,4.0,3.0
cogazocine,1,313.485,4.497,1.0,23.47,4.0,3.0
fenimide,1,217.268,1.627,1.0,46.17,2.0,2.0
pristinamycin-ia,0,866.973,1.27,4.0,227.96,6.0,7.0
saripidem,1,341.842,4.413,0.0,37.61,3.0,5.0
clobetasone butyrate,1,478.988,4.701,0.0,77.51,4.0,5.0
hydrocortisone-butyrate,1,432.557,3.133,2.0,100.9,4.0,5.0
hydrocortisone-buteprate,1,488.621,4.094,1.0,106.97,4.0,7.0
amebucort,1,488.621,3.949,1.0,106.97,4.0,6.0
difluprednate,1,508.558,3.52,1.0,106.97,4.0,6.0
icometasone-enbutate,1,521.05,4.087,1.0,106.97,4.0,6.0
domoprednate,1,428.569,4.326,1.0,80.67,4.0,4.0
pyrovalerone,1,245.366,3.442,0.0,20.31,2.0,5.0
etorphine,1,411.542,3.164,2.0,62.16,7.0,4.0
methitural,1,288.438,1.693,2.0,58.2,1.0,6.0
tetrabarbital,1,240.303,1.575,2.0,75.27,1.0,5.0
thiotetrabarbital,1,256.371,1.74,2.0,58.2,1.0,5.0
valdipromide,1,185.311,2.858,1.0,43.09,0.0,7.0
valproate-pivoxil,1,258.358,3.293,0.0,52.6,0.0,7.0
valpromide,1,143.23,1.688,1.0,43.09,0.0,5.0
prolintane,1,217.356,3.494,0.0,3.24,2.0,5.0
chlorobutanol,1,108.568,1.344,1.0,20.23,0.0,2.0
tolboxane,1,232.132,2.543,0.0,18.46,2.0,3.0
lincomycine,0,406.545,-0.857,5.0,122.49,2.0,7.0
prednival,1,444.568,3.299,2.0,100.9,4.0,6.0
fluprednisolone-valerate,1,462.558,3.247,2.0,100.9,4.0,6.0
hydrocortisone-hemisuccinate,1,446.584,3.523,2.0,100.9,4.0,6.0
betamethasone valerate,1,476.585,3.637,2.0,100.9,4.0,6.0
butoctamide,1,215.337,2.09,2.0,49.33,0.0,8.0
caproxamine,1,263.385,2.837,2.0,73.63,1.0,8.0
carbubarb,1,271.273,0.014,3.0,127.59,1.0,6.0
tonazocine,1,357.538,4.846,1.0,40.54,3.0,7.0
fluocortolone-21-hexanoat,1,474.613,4.768,1.0,80.67,4.0,7.0
nabazenil,1,537.829,9.313,0.0,38.77,4.0,11.0
hexapradol,1,283.415,3.83,2.0,46.25,2.0,7.0
mirincamycin,0,439.018,0.828,5.0,111.05,2.0,9.0
fluphenazine-enanthate,1,549.703,6.829,0.0,36.02,4.0,12.0
nabilone,1,372.549,6.264,1.0,46.53,3.0,6.0
octamoxin,1,144.262,1.809,2.0,38.05,0.0,6.0
teichomycin,0,1879.68,1.164,24.0,662.41,16.0,20.0
bromperidol-decanoate,1,574.575,8.226,0.0,46.61,3.0,15.0
haloperidol decanoate,1,530.124,8.117,0.0,46.61,3.0,15.0
dioxamate,1,287.4,3.354,1.0,70.78,1.0,10.0
myrophine,1,585.829,8.324,0.0,48.0,6.0,16.0
pipotiazine palmitate,1,714.095,10.056,0.0,70.16,4.0,23.0
prednisolone-steaglate,1,684.955,7.913,2.0,127.2,4.0,21.0
decimemide,1,337.46,4.322,1.0,70.78,1.0,13.0
nonapyrimine,1,260.385,4.12,2.0,53.6,2.0,9.0
eptastigmine,1,359.514,4.115,1.0,44.81,3.0,7.0
sameridine,1,330.516,4.079,0.0,23.55,2.0,8.0
xanomeline,1,281.425,3.216,0.0,38.25,2.0,7.0
tazomeline,1,297.493,3.929,0.0,29.02,2.0,7.0
milacemide,1,144.218,0.252,2.0,55.12,0.0,6.0
pentamorphone,1,368.477,2.309,2.0,61.8,5.0,5.0
alprostadil,0,354.487,3.475,3.0,94.83,1.0,13.0
cp29,1,195.262,2.053,1.0,42.23,1.0,4.0
umespirone,1,512.651,2.394,0.0,90.47,4.0,10.0
fengabine,1,322.235,5.337,1.0,32.59,2.0,5.0
tybamate,1,274.361,2.414,2.0,90.65,0.0,9.0
ethomoxane,1,265.353,2.615,1.0,39.72,2.0,7.0
butamoxane,1,221.3,2.216,1.0,30.49,2.0,5.0
tracazolate,1,304.394,3.148,1.0,69.04,2.0,7.0
cartazolate,1,290.367,2.84,1.0,69.04,2.0,7.0
schembl25219,1,446.559,3.988,1.0,80.67,4.0,5.0
fluocortin butyl,1,446.559,3.988,1.0,80.67,4.0,5.0
difebarbamate,1,578.663,2.686,2.0,180.79,2.0,18.0
febarbamate,1,405.451,1.693,2.0,128.03,2.0,10.0
dyclonine hydrochloride,0,289.419,3.924,0.0,29.54,2.0,8.0
captodiame,1,359.604,5.963,0.0,3.24,2.0,10.0
trospectomycin,0,374.434,-1.755,5.0,129.51,3.0,5.0
denbufylline,1,320.393,1.549,0.0,78.89,2.0,8.0
cp24,1,181.235,1.662,1.0,42.23,1.0,3.0
alpidem,1,404.341,5.499,0.0,37.61,3.0,7.0
alentemol,1,283.415,4.135,1.0,23.47,3.0,5.0
alnespirone,1,442.6,4.2,0.0,59.08,4.0,9.0
besipirdine,1,251.333,3.716,0.0,21.06,3.0,4.0
quinagolidum [inn-latin],1,395.569,2.136,2.0,72.88,3.0,7.0
tepirindole,1,274.795,4.32,1.0,19.03,3.0,3.0
prosulpride,1,355.46,0.947,2.0,101.73,2.0,7.0
profexalone,1,248.282,2.3,1.0,58.64,2.0,3.0
rp 60180,1,395.572,4.913,1.0,35.58,4.0,6.0
apadoline,1,395.572,4.913,1.0,35.58,4.0,6.0
propafenone,0,341.451,3.241,2.0,58.56,2.0,11.0
gr89696_pr,1,442.387,3.691,0.0,53.09,3.0,6.0
propoxate,1,258.321,3.059,0.0,44.12,2.0,5.0
tioperidone,1,452.624,3.794,1.0,61.34,4.0,9.0
clindamycin,0,424.991,0.39,4.0,102.26,2.0,7.0
clindamycin-phosphate,0,504.97,0.507,5.0,148.79,2.0,9.0
itrocinonide,1,568.61,4.258,1.0,117.59,5.0,6.0
rofleponide,1,468.537,2.981,2.0,93.06,5.0,4.0
acetorphine,1,453.579,3.383,1.0,68.23,7.0,5.0
picenadol,1,247.382,3.402,1.0,23.47,2.0,3.0
chloroethane,1,64.515,1.245,0.0,0.0,0.0,0.0
zaleplon,1,305.341,2.641,0.0,74.29,3.0,3.0
benzquinamide,1,404.507,2.423,0.0,68.31,3.0,6.0
tricetamide,1,324.377,1.311,1.0,77.1,1.0,8.0
rifamide,0,810.938,5.296,5.0,210.62,5.0,7.0
stacofylline,1,419.53,-0.017,0.0,88.61,3.0,6.0
lisuride,1,338.455,2.841,2.0,51.37,4.0,3.0
terguride,1,340.471,2.932,2.0,51.37,4.0,3.0
endomid,1,292.423,2.162,0.0,40.62,2.0,6.0
milnacipran,1,246.354,1.771,1.0,46.33,2.0,5.0
nikethamide,1,178.235,1.564,0.0,33.2,1.0,3.0
rifametane,0,836.98,5.848,6.0,229.27,5.0,6.0
isothamine(profenamine),1,312.482,5.02,0.0,6.48,3.0,5.0
elanzepine,1,312.844,5.171,1.0,15.27,3.0,4.0
prednisolamate,1,473.61,2.45,2.0,104.14,4.0,7.0
hydrocortamate,1,475.626,2.674,2.0,104.14,4.0,7.0
propacetamol,1,264.325,1.892,1.0,58.64,1.0,6.0
fluacizine,1,394.462,5.567,0.0,23.55,3.0,5.0
methylprednisolone,1,387.886,4.005,0.0,35.91,3.0,6.0
diethazine,1,298.455,4.631,0.0,6.48,3.0,5.0
clofexamide,1,284.787,2.177,1.0,41.57,1.0,8.0
akos026749852,1,280.368,1.532,1.0,50.8,1.0,9.0
bromopride,1,344.253,2.111,2.0,67.59,1.0,7.0
diclometide,1,319.232,3.074,1.0,41.57,1.0,7.0
tiapride,1,328.434,1.17,1.0,75.71,1.0,8.0
benactyzine,1,327.424,2.808,1.0,49.77,2.0,8.0
clofenciclan,1,309.881,4.858,0.0,12.47,2.0,7.0
etamiphyllin,1,279.344,-0.224,0.0,65.06,2.0,5.0
etisulergine,1,376.526,2.056,2.0,68.44,4.0,5.0
atolide,1,297.402,3.676,2.0,58.36,2.0,5.0
rifamexil,0,809.979,6.504,5.0,197.21,5.0,5.0
ethotoin,1,204.229,1.299,1.0,49.41,2.0,2.0
doxapram,1,378.516,3.173,0.0,32.78,4.0,6.0
pridefine,1,263.384,4.214,0.0,3.24,3.0,3.0
etacepride,1,304.39,2.112,1.0,58.64,2.0,6.0
amisulpride,1,369.487,1.285,2.0,101.73,2.0,7.0
sultopride,1,354.472,1.703,1.0,75.71,2.0,7.0
remoxipride,1,371.275,2.68,1.0,50.8,2.0,6.0
blonanserin,1,367.512,4.689,0.0,19.37,4.0,3.0
tiflucarbine,1,288.391,4.208,1.0,19.03,4.0,1.0
fenozolone,1,204.229,1.25,1.0,50.69,2.0,2.0
etasuline,1,302.83,4.964,1.0,24.39,3.0,2.0
cinromide,1,254.127,2.598,1.0,29.1,1.0,3.0
amperozide,1,401.501,4.224,1.0,35.58,3.0,7.0
eticyclidine,1,203.329,3.456,1.0,12.03,2.0,3.0
tiletamine,1,223.341,2.696,1.0,29.1,2.0,3.0
etifoxine,1,300.789,4.231,1.0,33.62,3.0,2.0
etilefrine,0,181.235,1.035,3.0,52.49,1.0,4.0
skb_a,1,226.345,2.068,2.0,45.15,1.0,5.0
netilmicin,0,475.587,-3.201,8.0,199.73,3.0,8.0
zylofuramine,1,219.328,2.386,1.0,21.26,2.0,5.0
ethyl biscoumacetate,0,408.362,3.006,2.0,127.18,4.0,4.0
hydroxypethidine,1,263.337,1.919,1.0,49.77,2.0,3.0
tilidine,1,273.376,2.768,0.0,29.54,2.0,4.0
piminodine,1,366.505,4.086,1.0,41.57,3.0,8.0
anileridine,1,352.478,3.408,1.0,55.56,3.0,6.0
felodipine,0,384.259,3.964,1.0,64.63,2.0,4.0
ethyl-loflazepate,1,360.772,3.2,1.0,67.76,3.0,3.0
bervastatin,1,466.549,4.954,2.0,75.99,4.0,8.0
flubanilate,1,304.312,3.23,0.0,32.78,1.0,5.0
encyprate,1,219.284,2.808,0.0,29.54,2.0,4.0
arfendazam,1,344.798,4.371,0.0,49.85,3.0,2.0
gr89696_et,1,428.36,3.301,0.0,53.09,3.0,5.0
carbocloral,1,236.482,1.421,2.0,58.56,0.0,2.0
carbenzide,1,208.261,1.998,2.0,50.36,1.0,4.0
ezogabine,1,303.337,3.588,3.0,76.38,2.0,5.0
bacmecillinam,0,441.55,2.384,0.0,97.74,3.0,6.0
loteprednol etabonate,1,466.958,3.917,1.0,99.13,4.0,4.0
cetotiamine,1,426.495,3.01,1.0,133.94,1.0,10.0
prednicarbate,1,488.577,3.699,1.0,116.2,4.0,6.0
enalapril,0,376.453,1.605,2.0,95.94,2.0,9.0
alpertine,1,437.54,3.727,1.0,67.03,4.0,8.0
etazolate,1,289.339,2.436,1.0,81.4,2.0,5.0
flutomidate,1,262.284,2.808,0.0,44.12,2.0,4.0
pimozide,1,244.294,2.669,0.0,44.12,2.0,4.0
urethane,1,89.094,0.102,1.0,52.32,0.0,1.0
detorubicin,0,673.668,0.951,5.0,230.6,5.0,11.0
etazepine,1,267.328,3.403,0.0,29.54,3.0,2.0
lirequinil,1,448.95,4.643,0.0,51.54,5.0,4.0
minaxolone,1,405.623,4.15,1.0,49.77,4.0,4.0
nafcillin,0,414.483,2.484,2.0,95.94,4.0,5.0
viloxazine,1,237.299,1.452,1.0,39.72,2.0,5.0
reboxetine,1,313.397,3.194,1.0,39.72,3.0,6.0
sulfonmethane,1,228.335,0.592,0.0,68.28,0.0,4.0
elfazepam,1,408.882,3.098,0.0,66.81,3.0,5.0
fluoresone,1,188.223,1.619,0.0,34.14,1.0,2.0
tipredane,1,410.62,5.17,1.0,37.3,4.0,3.0
thiethylperazine,1,399.629,5.039,0.0,9.72,4.0,6.0
ethambutol,0,204.314,-0.293,4.0,64.52,0.0,9.0
alphamethadol,1,311.469,4.084,1.0,23.47,2.0,7.0
aclucinomycin a,0,811.878,3.158,4.0,217.05,7.0,9.0
rodorubicin,0,941.037,3.107,5.0,241.91,9.0,9.0
mevastatin,1,390.52,3.95,1.0,72.83,3.0,6.0
skb-i,0,446.554,6.028,1.0,59.81,5.0,7.0
talnetant,1,382.463,5.489,2.0,62.22,4.0,5.0
sb 235375,0,440.499,5.246,2.0,88.52,4.0,8.0
skb-e,0,468.553,6.027,2.0,88.52,4.0,10.0
chembl2113676,1,467.613,6.113,1.0,54.46,4.0,10.0
skb-f,0,587.676,6.219,3.0,117.62,5.0,12.0
skb-g,0,544.655,5.916,2.0,93.21,5.0,11.0
skb-h,0,522.649,5.03,3.0,92.35,5.0,10.0
conorphone(conorfone),1,367.489,3.35,0.0,38.77,6.0,4.0
emetine hydrochloride,0,480.649,4.943,1.0,52.19,5.0,7.0
lexithromycin,0,762.979,2.219,5.0,198.43,3.0,8.0
berythromycin,0,717.938,2.671,4.0,173.68,3.0,7.0
azithromycin,0,748.996,1.901,5.0,180.08,3.0,7.0
roxithromycin,0,837.058,2.21,5.0,216.89,3.0,13.0
erythromycin,0,733.937,1.786,5.0,193.91,3.0,7.0
dirithromycin,0,835.086,2.202,5.0,196.33,4.0,12.0
flurithromycin,0,751.927,1.878,5.0,193.91,3.0,7.0
clarithromycin,0,747.964,2.44,4.0,182.91,3.0,8.0
vindesine,0,753.941,2.732,5.0,164.82,9.0,6.0
bremazocine,1,315.457,3.222,2.0,43.7,4.0,3.0
bretylium,0,243.168,3.045,0.0,0.0,1.0,3.0
methantheline,0,340.443,3.954,0.0,35.53,3.0,6.0
tofisoline,1,382.46,4.515,0.0,64.6,3.0,6.0
molindone,1,276.38,1.963,1.0,45.33,3.0,3.0
piquindone,1,246.354,2.192,1.0,36.1,3.0,1.0
cp94,1,167.208,1.136,1.0,42.23,1.0,2.0
cp-107,0,211.261,0.889,2.0,62.46,1.0,5.0
cp102,0,183.207,0.109,2.0,62.46,1.0,3.0
fasiplon,1,273.296,1.967,0.0,78.34,3.0,3.0
divaplon,1,295.342,2.84,0.0,56.49,3.0,4.0
etizolam,1,342.855,4.204,0.0,43.07,4.0,2.0
etymemazine,1,326.509,5.049,0.0,6.48,3.0,5.0
etaqualone,1,264.328,3.257,0.0,34.89,3.0,2.0
etoperidone,1,377.92,2.493,0.0,46.3,3.0,7.0
nefazodone,1,470.017,3.552,0.0,55.53,4.0,10.0
tandamine,1,302.487,4.117,0.0,8.17,3.0,4.0
amfonelic-acid,1,308.337,2.705,1.0,72.19,3.0,4.0
metronidazole,1,153.181,0.882,1.0,42.23,1.0,1.0
ripazepam,1,268.32,2.001,1.0,59.28,3.0,2.0
brifentanil,1,420.489,0.989,0.0,85.49,3.0,8.0
dulozafone,1,425.312,2.474,2.0,81.08,2.0,9.0
lorzafone,1,394.258,2.262,2.0,92.5,2.0,6.0
avizafone,1,430.936,2.106,3.0,118.52,2.0,10.0
ciprazafone,1,377.271,3.939,1.0,49.41,3.0,6.0
u50488,1,369.336,4.401,0.0,23.55,3.0,4.0
chembl106345,1,391.342,4.831,0.0,23.55,3.0,6.0
spiradoline,1,425.4,4.56,0.0,32.78,4.0,4.0
emd60400,0,353.466,2.078,2.0,69.8,3.0,6.0
amiperone,1,430.951,4.564,0.0,40.62,3.0,7.0
bromamid,1,271.158,2.339,1.0,32.34,1.0,4.0
oxitriptyline,1,295.382,2.979,0.0,29.54,3.0,3.0
camazepam,1,371.824,3.178,0.0,62.21,3.0,2.0
rilmazafone,1,475.336,2.082,2.0,123.21,3.0,7.0
cericlamine,1,262.18,2.849,1.0,23.47,1.0,4.0
zimeldine,1,317.23,3.837,0.0,16.13,2.0,4.0
thozalinone,1,204.229,1.202,0.0,41.9,2.0,1.0
guamecycline,0,626.671,-1.957,9.0,262.36,5.0,4.0
pipacycline,0,586.642,-1.173,7.0,194.34,5.0,6.0
flucindol,1,250.292,2.865,1.0,19.03,3.0,1.0
cyclindole,1,214.312,2.587,1.0,19.03,3.0,1.0
intriptyline,1,285.39,4.167,0.0,3.24,3.0,1.0
cotriptyline,1,291.394,3.348,0.0,20.31,3.0,3.0
dacemazine,1,284.384,3.378,0.0,23.55,3.0,2.0
aminopromazine,1,327.497,3.781,0.0,9.72,3.0,5.0
clemeprol,1,289.806,3.394,1.0,23.47,2.0,5.0
medifoxamine,1,257.333,3.032,0.0,21.7,2.0,6.0
sinequan,1,279.383,3.962,0.0,12.47,3.0,3.0
dothiepin,1,295.451,4.676,0.0,3.24,3.0,3.0
chlorprothixene,1,315.869,5.188,0.0,3.24,3.0,3.0
damotepine,1,267.397,4.253,0.0,3.24,3.0,2.0
spiroxepin,1,311.381,2.757,0.0,30.93,4.0,2.0
gamfexine,1,245.41,4.302,0.0,3.24,2.0,5.0
57932-12-4,1,257.377,3.127,0.0,12.47,3.0,3.0
indriline,1,263.384,3.951,0.0,3.24,3.0,4.0
melitracen,1,291.438,4.709,0.0,3.24,3.0,3.0
prothixene,1,281.424,4.535,0.0,3.24,3.0,3.0
clomacran,1,300.833,4.871,1.0,15.27,3.0,4.0
dimetacrine,1,294.442,4.416,0.0,6.48,3.0,4.0
tampramine,1,356.473,4.654,0.0,31.73,4.0,5.0
depramine,1,278.399,4.26,0.0,6.48,3.0,4.0
tienopramine,1,284.428,4.322,0.0,6.48,3.0,4.0
ketipramine(ketimipramine),1,294.398,3.515,0.0,23.55,3.0,4.0
cianopramine,1,305.425,3.747,0.0,30.27,3.0,4.0
prothipendyl,1,285.416,3.636,0.0,19.37,3.0,4.0
fantridone,1,280.371,3.106,0.0,25.24,3.0,4.0
clodazon,1,329.831,3.397,0.0,30.17,3.0,5.0
iprindole,1,284.447,4.252,0.0,8.17,3.0,4.0
fezolamine,1,305.425,4.169,0.0,21.06,3.0,6.0
binedaline,1,293.414,3.438,0.0,11.41,3.0,5.0
methapyrilene,1,261.394,2.711,0.0,19.37,2.0,6.0
thiazesim,1,326.465,3.818,0.0,23.55,3.0,4.0
dibenzepin,1,295.386,2.976,0.0,26.79,3.0,3.0
imidoline,1,267.76,2.144,0.0,26.79,2.0,4.0
deanol,1,89.138,-0.46,1.0,23.47,0.0,2.0
cyprodenate,1,227.348,2.452,0.0,29.54,1.0,6.0
meclofenoxate,1,257.717,1.824,0.0,38.77,1.0,6.0
chlorphenoxamine,1,303.833,4.182,0.0,12.47,2.0,6.0
bromodiphenhydramine,1,334.257,4.117,0.0,12.47,2.0,6.0
bufenadrine,1,311.469,4.652,0.0,12.47,2.0,6.0
ramciclane,1,315.501,4.392,0.0,12.47,3.0,6.0
zotepine,1,331.868,4.881,0.0,12.47,3.0,4.0
noxiptiline,1,294.398,3.116,0.0,24.83,3.0,4.0
dexnafenodone,1,293.41,3.705,0.0,20.31,3.0,4.0
psilocybine,1,284.252,1.744,3.0,85.79,2.0,5.0
6304-27-4,1,150.225,1.186,0.0,16.13,1.0,3.0
dimethazan,1,251.29,-1.005,0.0,65.06,2.0,3.0
cefotiam,0,525.642,-0.653,3.0,172.46,4.0,10.0
adinazolam,1,351.841,3.333,0.0,46.31,4.0,3.0
pipotiazine,1,475.68,4.024,1.0,64.09,4.0,8.0
dapoxetine,1,305.421,4.912,0.0,12.47,3.0,6.0
apicycline,0,630.651,-1.719,8.0,231.64,5.0,7.0
pecocycline,0,585.61,0.014,7.0,208.17,5.0,5.0
